,filename,components,smiles,"Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
12306,j.jct.2004.09.014,2-methoxyethanol,COCCO,955.76,0.05,,,,,,,,,,,,
12307,j.jct.2004.09.014,2-methoxyethanol,COCCO,951.1,0.05,,,,,,,,,,,,
12308,j.jct.2004.09.014,2-methoxyethanol,COCCO,946.54,0.05,,,,,,,,,,,,
12309,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,1020.8,0.05,,,,,,,,,,,,
12310,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,1016.4,0.05,,,,,,,,,,,,
12311,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,1011.83,0.05,,,,,,,,,,,,
12312,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,1007.69,0.05,,,,,,,,,,,,
12313,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,1003.22,0.05,,,,,,,,,,,,
12319,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,741.11,0.05,,,,,,,,,,,,
12320,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,735.59,0.05,,,,,,,,,,,,
12321,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,730.85,0.05,,,,,,,,,,,,
12322,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,725.98,0.05,,,,,,,,,,,,
12323,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,720.69,0.05,,,,,,,,,,,,
13269,j.jct.2004.09.021,methoxybenzene,COc1ccccc1,993.81,,,,,,,,,,,,,
13270,j.jct.2004.09.021,methoxybenzene,COc1ccccc1,989.15,,,,,,,,,,,,,
13271,j.jct.2004.09.021,methoxybenzene,COc1ccccc1,984.42,,,,,,,,,,,,,
13278,j.jct.2004.09.021,hexane,CCCCCC,659.5,,,,,,,,,,,,,
13279,j.jct.2004.09.021,hexane,CCCCCC,654.96,,,,,,,,,,,,,
13280,j.jct.2004.09.021,hexane,CCCCCC,650.42,,,,,,,,,,,,,
13287,j.jct.2004.09.021,heptane,CCCCCCC,683.96,,,,,,,,,,,,,
13288,j.jct.2004.09.021,heptane,CCCCCCC,679.77,,,,,,,,,,,,,
13289,j.jct.2004.09.021,heptane,CCCCCCC,675.5,,,,,,,,,,,,,
13296,j.jct.2004.09.021,octane,CCCCCCCC,702.61,,,,,,,,,,,,,
13297,j.jct.2004.09.021,octane,CCCCCCCC,698.57,,,,,,,,,,,,,
13298,j.jct.2004.09.021,octane,CCCCCCCC,694.56,,,,,,,,,,,,,
13305,j.jct.2004.09.021,nonane,CCCCCCCCC,717.59,,,,,,,,,,,,,
13306,j.jct.2004.09.021,nonane,CCCCCCCCC,713.71,,,,,,,,,,,,,
13307,j.jct.2004.09.021,nonane,CCCCCCCCC,709.81,,,,,,,,,,,,,
13314,j.jct.2004.09.021,decane,CCCCCCCCCC,729.91,,,,,,,,,,,,,
13315,j.jct.2004.09.021,decane,CCCCCCCCCC,726.16,,,,,,,,,,,,,
13316,j.jct.2004.09.021,decane,CCCCCCCCCC,722.36,,,,,,,,,,,,,
13926,j.jct.2004.09.022,water,O,999.9,0.1,,,,,,,,,,,,
13932,j.jct.2004.09.022,3-methyl-1-butanol,CC(C)CCO,808.4,,,,,,,,,,,,,
13956,j.jct.2004.10.001,ethanol,CCO,785.36,,,,,,,,,,,,,
13957,j.jct.2004.10.001,ethanol,CCO,,,1160.35,,,,,,,,,,,
13958,j.jct.2004.10.001,ethanol,CCO,,,1142.95,,,,,,,,,,,
13959,j.jct.2004.10.001,ethanol,CCO,,,1125.86,,,,,,,,,,,
13960,j.jct.2004.10.001,ethanol,CCO,,,1109.05,,,,,,,,,,,
13961,j.jct.2004.10.001,ethanol,CCO,,,1092.08,,,,,,,,,,,
13962,j.jct.2004.10.001,ethanol,CCO,,,1075.08,,,,,,,,,,,
13963,j.jct.2004.10.001,ethanol,CCO,,,1555.68,,,,,,,,,,,
13964,j.jct.2004.10.001,ethanol,CCO,,,1554.43,,,,,,,,,,,
13965,j.jct.2004.10.001,ethanol,CCO,,,1505.03,,,,,,,,,,,
13966,j.jct.2004.10.001,ethanol,CCO,,,1503.64,,,,,,,,,,,
13967,j.jct.2004.10.001,ethanol,CCO,,,1450.12,,,,,,,,,,,
13968,j.jct.2004.10.001,ethanol,CCO,,,1448.22,,,,,,,,,,,
13969,j.jct.2004.10.001,ethanol,CCO,,,1389.98,,,,,,,,,,,
13970,j.jct.2004.10.001,ethanol,CCO,,,1388.31,,,,,,,,,,,
13971,j.jct.2004.10.001,ethanol,CCO,,,1324.36,,,,,,,,,,,
13972,j.jct.2004.10.001,ethanol,CCO,,,1323.04,,,,,,,,,,,
13973,j.jct.2004.10.001,ethanol,CCO,,,1252.34,,,,,,,,,,,
13974,j.jct.2004.10.001,ethanol,CCO,,,1248.74,,,,,,,,,,,
13975,j.jct.2004.10.001,ethanol,CCO,,,1544.52,,,,,,,,,,,
13976,j.jct.2004.10.001,ethanol,CCO,,,1543.11,,,,,,,,,,,
13977,j.jct.2004.10.001,ethanol,CCO,,,1493.94,,,,,,,,,,,
13978,j.jct.2004.10.001,ethanol,CCO,,,1491.15,,,,,,,,,,,
13979,j.jct.2004.10.001,ethanol,CCO,,,1438.8,,,,,,,,,,,
13980,j.jct.2004.10.001,ethanol,CCO,,,1435.65,,,,,,,,,,,
13981,j.jct.2004.10.001,ethanol,CCO,,,1378.64,,,,,,,,,,,
13982,j.jct.2004.10.001,ethanol,CCO,,,1375.87,,,,,,,,,,,
13983,j.jct.2004.10.001,ethanol,CCO,,,1311.31,,,,,,,,,,,
13984,j.jct.2004.10.001,ethanol,CCO,,,1308.39,,,,,,,,,,,
13985,j.jct.2004.10.001,ethanol,CCO,,,1236.78,,,,,,,,,,,
13986,j.jct.2004.10.001,ethanol,CCO,,,1234.63,,,,,,,,,,,
13987,j.jct.2004.10.001,ethanol,CCO,,,1544.42,,,,,,,,,,,
13988,j.jct.2004.10.001,ethanol,CCO,,,1543.01,,,,,,,,,,,
13989,j.jct.2004.10.001,ethanol,CCO,,,1493.37,,,,,,,,,,,
13990,j.jct.2004.10.001,ethanol,CCO,,,1491.29,,,,,,,,,,,
13991,j.jct.2004.10.001,ethanol,CCO,,,1438.49,,,,,,,,,,,
13992,j.jct.2004.10.001,ethanol,CCO,,,1435.06,,,,,,,,,,,
13993,j.jct.2004.10.001,ethanol,CCO,,,1377.32,,,,,,,,,,,
13994,j.jct.2004.10.001,ethanol,CCO,,,1375.51,,,,,,,,,,,
13995,j.jct.2004.10.001,ethanol,CCO,,,1311.45,,,,,,,,,,,
13996,j.jct.2004.10.001,ethanol,CCO,,,1308.59,,,,,,,,,,,
13997,j.jct.2004.10.001,ethanol,CCO,,,1238.89,,,,,,,,,,,
13998,j.jct.2004.10.001,ethanol,CCO,,,1234.66,,,,,,,,,,,
13999,j.jct.2004.10.001,ethanol,CCO,,,1532.78,,,,,,,,,,,
14000,j.jct.2004.10.001,ethanol,CCO,,,1532.29,,,,,,,,,,,
14001,j.jct.2004.10.001,ethanol,CCO,,,1481.74,,,,,,,,,,,
14002,j.jct.2004.10.001,ethanol,CCO,,,1479.89,,,,,,,,,,,
14003,j.jct.2004.10.001,ethanol,CCO,,,1426.21,,,,,,,,,,,
14004,j.jct.2004.10.001,ethanol,CCO,,,1423.15,,,,,,,,,,,
14005,j.jct.2004.10.001,ethanol,CCO,,,1364.72,,,,,,,,,,,
14006,j.jct.2004.10.001,ethanol,CCO,,,1362.61,,,,,,,,,,,
14007,j.jct.2004.10.001,ethanol,CCO,,,1297.28,,,,,,,,,,,
14008,j.jct.2004.10.001,ethanol,CCO,,,1295.0,,,,,,,,,,,
14009,j.jct.2004.10.001,ethanol,CCO,,,1221.13,,,,,,,,,,,
14010,j.jct.2004.10.001,ethanol,CCO,,,1219.01,,,,,,,,,,,
14011,j.jct.2004.10.001,ethanol,CCO,,,1522.49,,,,,,,,,,,
14012,j.jct.2004.10.001,ethanol,CCO,,,1520.16,,,,,,,,,,,
14013,j.jct.2004.10.001,ethanol,CCO,,,1469.46,,,,,,,,,,,
14014,j.jct.2004.10.001,ethanol,CCO,,,1468.28,,,,,,,,,,,
14015,j.jct.2004.10.001,ethanol,CCO,,,1413.77,,,,,,,,,,,
14016,j.jct.2004.10.001,ethanol,CCO,,,1410.96,,,,,,,,,,,
