,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Temperature, K","Pressure, kPa","Excess molar enthalpy (molar enthalpy of mixing), kJ/mol","Excess molar enthalpy (molar enthalpy of mixing), kJ/mol_std"
43377,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.3088,343.15,101.0,-0.56,-0.0056
43378,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.3926,343.15,101.0,-0.591,-0.00591
43379,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.5013,343.15,101.0,-0.593,-0.00593
43380,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.551,343.15,101.0,-0.579,-0.00579
43381,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.6483,343.15,101.0,-0.505,-0.00505
43382,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.743,343.15,101.0,-0.433,-0.00433
43383,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.8269,343.15,101.0,-0.308,-0.00308
43384,j.jct.2005.06.018,"1,3-propanediol",water,OCCCO,O,"1,3-propanediol__water",0.9249,343.15,101.0,-0.153,-0.00153
43385,j.jct.2005.06.018,"1,4-butanediol",water,OCCCCO,O,"1,4-butanediol__water",0.0221,298.15,101.0,-0.229,-0.00229
43386,j.jct.2005.06.018,"1,4-butanediol",water,OCCCCO,O,"1,4-butanediol__water",0.0485,298.15,101.0,-0.423,-0.00423
43387,j.jct.2005.06.018,"1,4-butanediol",water,OCCCCO,O,"1,4-butanediol__water",0.1028,298.15,101.0,-0.676,-0.00676
43388,j.jct.2005.06.018,"1,4-butanediol",water,OCCCCO,O,"1,4-butanediol__water",0.1761,298.15,101.0,-0.805,-0.00805
43389,j.jct.2005.06.018,"1,4-butanediol",water,OCCCCO,O,"1,4-butanediol__water",0.2658,298.15,101.0,-0.896,-0.00896
43390,j.jct.2005.06.018,"1,4-butanediol",water,OCCCCO,O,"1,4-butanediol__water",0.3437,298.15,101.0,-0.916,-0.00916
43391,j.jct.2005.06.018,"1,4-butanediol",water,OCCCCO,O,"1,4-butanediol__water",0.449,298.15,101.0,-0.901,-0.00901
43392,j.jct.2005.06.018,"1,4-butanediol",water,OCCCCO,O,"1,4-butanediol__water",0.4986,298.15,101.0,-0.882,-0.00882
