,Mixture,Mixture Count dens binary,Mixture Count actcoeff binary,Mixture Count sos binary,Mixture Count dielec binary,Mixture Count eme binary,Mixture Count emcp binary,Mixture Count emv binary
146,1-propanol__2-butoxyethanol,70.0,0.0,70.0,0.0,0.0,0.0,0.0
147,2-butanol__2-butoxyethanol,70.0,0.0,70.0,0.0,0.0,0.0,0.0
148,2-propanol__2-butoxyethanol,70.0,0.0,70.0,0.0,0.0,0.0,0.0
149,1-hexanol__2-butoxyethanol,70.0,0.0,70.0,0.0,0.0,0.0,0.0
150,1-butanol__2-butoxyethanol,70.0,0.0,70.0,0.0,0.0,0.0,0.0
151,tert-butanol__heptane,70.0,0.0,0.0,0.0,0.0,0.0,0.0
152,"nonane__2,5,8-trioxanonane",69.0,0.0,0.0,66.0,0.0,0.0,0.0
153,1-butanol__methyl tert-butyl ether,67.0,0.0,66.0,0.0,0.0,0.0,0.0
154,"benzenemethanol__1,2-butanediol",66.0,0.0,66.0,0.0,0.0,0.0,0.0
155,"1,2-dihydroxypropane__amylcarbinol",66.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2-phenylethanol__1-propanol,66.0,0.0,66.0,0.0,0.0,0.0,0.0
157,1-propanol__tert-butanol,66.0,0.0,66.0,0.0,0.0,0.0,0.0
158,"1,2-dihydroxypropane__methyl alcohol",66.0,0.0,0.0,0.0,0.0,0.0,0.0
159,"2-phenylethanol__1,2-butanediol",66.0,0.0,66.0,0.0,0.0,0.0,0.0
160,2-propanol__tert-butanol,66.0,0.0,66.0,0.0,0.0,0.0,0.0
161,"(RS)-2-butanol__1,2-butanediol",66.0,0.0,66.0,0.0,0.0,0.0,0.0
162,"1,4-dimethylbenzene__heptane",66.0,0.0,0.0,0.0,0.0,0.0,0.0
163,"1,2-dimethoxyethane__nonane",66.0,0.0,0.0,66.0,0.0,0.0,0.0
164,butylcyclohexane__JP-10,66.0,0.0,0.0,0.0,0.0,0.0,0.0
165,"2-propanol__1,3-propanediol",66.0,0.0,66.0,0.0,0.0,0.0,0.0
166,"1,2-dihydroxypropane__1-nonanol",66.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"1,2,4-trimethylcyclohexane__JP-10",66.0,0.0,0.0,0.0,0.0,0.0,0.0
168,methylcyclohexane__JP-10,66.0,0.0,0.0,0.0,0.0,0.0,0.0
169,ethylcyclohexane__JP-10,66.0,0.0,0.0,0.0,0.0,0.0,0.0
170,"1,2-dihydroxypropane__1-octanol",66.0,0.0,0.0,0.0,0.0,0.0,0.0
171,"1,3-butanediol__1,2-butanediol",66.0,0.0,66.0,0.0,0.0,0.0,0.0
