;Component;SMILES;Count dens pure;Count cpmol pure;Count sos pure;Count dielec pure;Count hmol pure;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Count emv binary;Count all
88;2-Methoxy-2-methylbutane;CCC(C)(C)OC;3.0;0.0;1.0;0.0;0.0;136.0;4.0;21.0;0.0;0.0;0.0;19.0;184.0
95;2,3-Dimethylbutane;CC(C)C(C)C;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.0;0.0;0.0;164.0
96;2,2-Dimethylbutane;CCC(C)(C)C;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.0;0.0;0.0;163.0
99;2,2-Dimethylpropane-1,3-diol;CC(C)(CO)CO;0.0;0.0;0.0;0.0;0.0;156.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0
100;2-Methyloxolane;CC1CCCO1;10.0;8.0;4.0;0.0;0.0;27.0;0.0;45.0;0.0;44.0;0.0;0.0;138.0
101;3-METHYLPENTANE-1,5-DIOL;CC(CCO)CCO;0.0;0.0;0.0;0.0;0.0;138.0;0.0;0.0;0.0;0.0;0.0;0.0;138.0
105;2-Methylpentane;CCCC(C)C;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;119.0
106;Dimethoxymethane;COCOC;119.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;119.0
107;Ethoxyethane;CCOCC;61.0;0.0;1.0;0.0;0.0;22.0;0.0;23.0;0.0;0.0;0.0;0.0;107.0
110;3-Methylpentane;CCC(C)CC;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0
111;heptan-2-ol;CCCCCC(C)O;11.0;1.0;2.0;0.0;0.0;42.0;0.0;42.0;0.0;0.0;0.0;0.0;98.0
114;2-(2-Methylpropoxy)ethanol;CC(C)COCCO;0.0;0.0;0.0;0.0;0.0;45.0;0.0;45.0;0.0;0.0;0.0;0.0;90.0
115;1-propoxypropane;CCCOCCC;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0;0.0;0.0;88.0
120;2-Methylpropane;CC(C)C;58.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;79.0
124;BUTANE;CCCC;50.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;0.0;71.0
