;Mixture;x1;x2;SMILES1;SMILES2;Count dens binary;Count actcoeff binary;Count sos binary;Count dielec binary;Count eme binary;Count emcp binary;Mixture Count emv binary;Mixture Count all
446;2-methyl-2-butanol__ethyl tert-pentyl ether;2-methyl-2-butanol;ethyl tert-pentyl ether;CCC(C)(C)O;CCOC(C)(C)CC;9.0;0.0;0.0;0.0;9.0;0.0;0.0;18.0
384;ethane__toluene;ethane;toluene;CC;Cc1ccccc1;18.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0
385;n-hexane__2,5-dimethylfuran;n-hexane;2,5-dimethylfuran;CCCCCC;Cc1oc(C)cc1;18.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0
654;benzyl alcohol__3,6-dioxaoctane;benzyl alcohol;3,6-dioxaoctane;OCc1ccccc1;CCOCCOCC;0.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0
650;benzyl alcohol__1,2-dimethoxyethane;benzyl alcohol;1,2-dimethoxyethane;OCc1ccccc1;COCCOC;0.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0
653;2-methyl-1-propanol__1-methyl-1-(1-methylethoxy)ethane;2-methyl-1-propanol;1-methyl-1-(1-methylethoxy)ethane;CC(C)CO;CC(C)OC(C)C;0.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0
652;1-propanol__decane;1-propanol;decane;CCCO;CCCCCCCCCC;0.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0
651;benzyl alcohol__ethanol, 2-ethoxy-;benzyl alcohol;ethanol, 2-ethoxy-;OCc1ccccc1;CCOCCO;0.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0
649;benzyl alcohol__dibutyl ether;benzyl alcohol;dibutyl ether;OCc1ccccc1;CCCCOCCCC;0.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0
648;benzyl alcohol__3,6-dioxa-1-octanol;benzyl alcohol;3,6-dioxa-1-octanol;OCc1ccccc1;CCOCCOCCO;0.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0
466;tert-pentyl alcohol__water;tert-pentyl alcohol;water;CCC(C)(C)O;O;0.0;16.0;0.0;0.0;0.0;0.0;0.0;16.0
