,filename,x1,x2,smiles1,smiles2,components,Mole fraction,"Excess molar heat capacity, J/K/mol","Excess molar heat capacity, J/K/mol_std"
106245,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.434,-0.00434
106246,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.473,-0.00473
106247,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.543,-0.00543
106248,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.599,-0.00599
106249,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8323,-0.587,-0.00587
106250,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.075,-0.00075
106251,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.083,-0.00083
106252,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.052,-0.00052
106253,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.078,-0.00078
106254,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.128,-0.00128
106255,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.158,-0.00158
106256,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.287,-0.00287
106257,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.244,-0.00244
106258,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.262,-0.00262
106259,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.303,-0.00303
106260,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.369,-0.00369
106261,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.432,-0.00432
106262,j.jct.2007.04.011,1-butanol,"1,4-butanediol",CCCCO,OCCCCO,"1-butanol__1,4-butanediol",0.8892,-0.416,-0.00416
644229,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.00991,0.43,0.2
644230,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.02619,0.87,0.2
644231,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.04637,1.03,0.2
644232,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.07516,1.32,0.2
644233,j.fluid.2013.06.041,"1,2-ethanediol",water,OCCO,O,"1,2-ethanediol__water",0.10163,1.26,0.2
