,filename,components,smiles,"Temperature, K","Pressure, kPa","Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
11655,j.jct.2004.09.007,1-butanol,CCCCO,323.15,101.3,,,,,,,196.35,,,,,,,
11656,j.jct.2004.09.007,1-butanol,CCCCO,325.65,101.3,,,,,,,198.45,,,,,,,
11657,j.jct.2004.09.007,1-butanol,CCCCO,328.15,101.3,,,,,,,200.45,,,,,,,
11658,j.jct.2004.09.007,1-butanol,CCCCO,330.65,101.3,,,,,,,202.76,,,,,,,
11659,j.jct.2004.09.007,1-butanol,CCCCO,333.15,101.3,,,,,,,204.94,,,,,,,
11660,j.jct.2004.09.007,1-butanol,CCCCO,335.65,101.3,,,,,,,207.1,,,,,,,
11661,j.jct.2004.09.007,1-butanol,CCCCO,338.15,101.3,,,,,,,209.17,,,,,,,
11662,j.jct.2004.09.007,1-butanol,CCCCO,340.65,101.3,,,,,,,211.74,,,,,,,
11663,j.jct.2004.09.007,1-butanol,CCCCO,343.15,101.3,,,,,,,213.82,,,,,,,
11664,j.jct.2004.09.007,1-butanol,CCCCO,345.65,101.3,,,,,,,216.35,,,,,,,
11665,j.jct.2004.09.007,1-butanol,CCCCO,348.15,101.3,,,,,,,218.32,,,,,,,
11666,j.jct.2004.09.007,1-butanol,CCCCO,350.65,101.3,,,,,,,220.5,,,,,,,
11667,j.jct.2004.09.007,1-butanol,CCCCO,353.15,101.3,,,,,,,222.81,,,,,,,
11668,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,298.15,101.325,1000.42,,,,,,,,,,,,,
11669,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,285.15,101.3,,,,,,,211.74,,,,,,,
11670,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,285.65,101.3,,,,,,,212.17,,,,,,,
11671,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,288.15,101.3,,,,,,,213.57,,,,,,,
11672,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,290.65,101.3,,,,,,,215.06,,,,,,,
11673,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,293.15,101.3,,,,,,,216.58,,,,,,,
11674,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,295.65,101.3,,,,,,,218.04,,,,,,,
11675,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,298.15,101.3,,,,,,,219.62,,,,,,,
11676,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,300.65,101.3,,,,,,,221.14,,,,,,,
11677,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,303.15,101.3,,,,,,,222.8,,,,,,,
11678,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,305.65,101.3,,,,,,,224.37,,,,,,,
11679,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,308.15,101.3,,,,,,,226.07,,,,,,,
11680,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,310.65,101.3,,,,,,,227.65,,,,,,,
11681,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,313.15,101.3,,,,,,,229.24,,,,,,,
11682,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,315.65,101.3,,,,,,,230.82,,,,,,,
11683,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,318.15,101.3,,,,,,,232.6,,,,,,,
11684,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,320.65,101.3,,,,,,,234.14,,,,,,,
11685,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,323.15,101.3,,,,,,,235.83,,,,,,,
11686,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,325.65,101.3,,,,,,,237.52,,,,,,,
11687,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,328.15,101.3,,,,,,,239.08,,,,,,,
11688,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,330.65,101.3,,,,,,,240.59,,,,,,,
11689,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,333.15,101.3,,,,,,,242.28,,,,,,,
11690,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,335.65,101.3,,,,,,,243.86,,,,,,,
11691,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,338.15,101.3,,,,,,,245.11,,,,,,,
11692,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,340.65,101.3,,,,,,,247.19,,,,,,,
11693,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,343.15,101.3,,,,,,,248.62,,,,,,,
11694,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,345.65,101.3,,,,,,,250.13,,,,,,,
11695,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,348.15,101.3,,,,,,,251.66,,,,,,,
11696,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,350.65,101.3,,,,,,,253.24,,,,,,,
11697,j.jct.2004.09.007,"1,3-butanediol",CC(O)CCO,353.15,101.3,,,,,,,254.86,,,,,,,
11938,j.jct.2004.09.009,2-propanol,CC(C)O,298.15,101.325,780.87,,,,,,,,,,,,,
12054,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,293.15,101.3,769.3,,,,,,,,,,,,,
12055,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,298.15,101.3,764.98,,,,,,,,,,,,,
12056,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,303.15,101.3,760.65,,,,,,,,,,,,,
12057,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,308.15,101.3,756.29,,,,,,,,,,,,,
12058,j.jct.2004.09.009,methylcyclohexane,CC1CCCCC1,313.15,101.3,751.93,,,,,,,,,,,,,
12304,j.jct.2004.09.014,2-methoxyethanol,COCCO,293.15,101.3,964.88,0.05,,,,,,,,,,,,
12305,j.jct.2004.09.014,2-methoxyethanol,COCCO,298.15,101.3,960.29,0.05,,,,,,,,,,,,
12306,j.jct.2004.09.014,2-methoxyethanol,COCCO,303.15,101.3,955.76,0.05,,,,,,,,,,,,
12307,j.jct.2004.09.014,2-methoxyethanol,COCCO,308.15,101.3,951.1,0.05,,,,,,,,,,,,
12308,j.jct.2004.09.014,2-methoxyethanol,COCCO,313.15,101.3,946.54,0.05,,,,,,,,,,,,
12309,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,293.15,101.3,1020.8,0.05,,,,,,,,,,,,
12310,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,298.15,101.3,1016.4,0.05,,,,,,,,,,,,
12311,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,303.15,101.3,1011.83,0.05,,,,,,,,,,,,
12312,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,308.15,101.3,1007.69,0.05,,,,,,,,,,,,
12313,j.jct.2004.09.014,2-(2-methoxyethoxy)ethanol,COCCOCCO,313.15,101.3,1003.22,0.05,,,,,,,,,,,,
12319,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,293.15,101.3,741.11,0.05,,,,,,,,,,,,
12320,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,298.15,101.3,735.59,0.05,,,,,,,,,,,,
12321,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,303.15,101.3,730.85,0.05,,,,,,,,,,,,
12322,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,308.15,101.3,725.98,0.05,,,,,,,,,,,,
12323,j.jct.2004.09.014,tert-butyl ethyl ether,CCOC(C)(C)C,313.15,101.3,720.69,0.05,,,,,,,,,,,,
13269,j.jct.2004.09.021,methoxybenzene,COc1ccccc1,293.15,101.0,993.81,,,,,,,,,,,,,
13270,j.jct.2004.09.021,methoxybenzene,COc1ccccc1,298.15,101.0,989.15,,,,,,,,,,,,,
13271,j.jct.2004.09.021,methoxybenzene,COc1ccccc1,303.15,101.0,984.42,,,,,,,,,,,,,
13278,j.jct.2004.09.021,hexane,CCCCCC,293.15,101.0,659.5,,,,,,,,,,,,,
13279,j.jct.2004.09.021,hexane,CCCCCC,298.15,101.0,654.96,,,,,,,,,,,,,
13280,j.jct.2004.09.021,hexane,CCCCCC,303.15,101.0,650.42,,,,,,,,,,,,,
13287,j.jct.2004.09.021,heptane,CCCCCCC,293.15,101.0,683.96,,,,,,,,,,,,,
13288,j.jct.2004.09.021,heptane,CCCCCCC,298.15,101.0,679.77,,,,,,,,,,,,,
13289,j.jct.2004.09.021,heptane,CCCCCCC,303.15,101.0,675.5,,,,,,,,,,,,,
13296,j.jct.2004.09.021,octane,CCCCCCCC,293.15,101.0,702.61,,,,,,,,,,,,,
13297,j.jct.2004.09.021,octane,CCCCCCCC,298.15,101.0,698.57,,,,,,,,,,,,,
13298,j.jct.2004.09.021,octane,CCCCCCCC,303.15,101.0,694.56,,,,,,,,,,,,,
13305,j.jct.2004.09.021,nonane,CCCCCCCCC,293.15,101.0,717.59,,,,,,,,,,,,,
13306,j.jct.2004.09.021,nonane,CCCCCCCCC,298.15,101.0,713.71,,,,,,,,,,,,,
13307,j.jct.2004.09.021,nonane,CCCCCCCCC,303.15,101.0,709.81,,,,,,,,,,,,,
13314,j.jct.2004.09.021,decane,CCCCCCCCCC,293.15,101.0,729.91,,,,,,,,,,,,,
13315,j.jct.2004.09.021,decane,CCCCCCCCCC,298.15,101.0,726.16,,,,,,,,,,,,,
13316,j.jct.2004.09.021,decane,CCCCCCCCCC,303.15,101.0,722.36,,,,,,,,,,,,,
13926,j.jct.2004.09.022,water,O,293.15,101.325,999.9,0.1,,,,,,,,,,,,
13932,j.jct.2004.09.022,3-methyl-1-butanol,CC(C)CCO,293.15,101.325,808.4,,,,,,,,,,,,,
13956,j.jct.2004.10.001,ethanol,CCO,298.15,101.325,785.36,,,,,,,,,,,,,
13957,j.jct.2004.10.001,ethanol,CCO,293.08,101.3,,,1160.35,,,,,,,,,,,
13958,j.jct.2004.10.001,ethanol,CCO,298.15,101.3,,,1142.95,,,,,,,,,,,
13959,j.jct.2004.10.001,ethanol,CCO,303.16,101.3,,,1125.86,,,,,,,,,,,
13960,j.jct.2004.10.001,ethanol,CCO,308.12,101.3,,,1109.05,,,,,,,,,,,
13961,j.jct.2004.10.001,ethanol,CCO,313.15,101.3,,,1092.08,,,,,,,,,,,
13962,j.jct.2004.10.001,ethanol,CCO,318.21,101.3,,,1075.08,,,,,,,,,,,
13963,j.jct.2004.10.001,ethanol,CCO,293.19,91350.0,,,1555.68,,,,,,,,,,,
13964,j.jct.2004.10.001,ethanol,CCO,293.19,90940.0,,,1554.43,,,,,,,,,,,
13965,j.jct.2004.10.001,ethanol,CCO,293.19,76230.0,,,1505.03,,,,,,,,,,,
13966,j.jct.2004.10.001,ethanol,CCO,293.19,75800.0,,,1503.64,,,,,,,,,,,
13967,j.jct.2004.10.001,ethanol,CCO,293.21,61020.0,,,1450.12,,,,,,,,,,,
13968,j.jct.2004.10.001,ethanol,CCO,293.21,60510.0,,,1448.22,,,,,,,,,,,
13969,j.jct.2004.10.001,ethanol,CCO,293.22,45730.0,,,1389.98,,,,,,,,,,,
13970,j.jct.2004.10.001,ethanol,CCO,293.22,45370.0,,,1388.31,,,,,,,,,,,
13971,j.jct.2004.10.001,ethanol,CCO,293.22,30530.0,,,1324.36,,,,,,,,,,,
13972,j.jct.2004.10.001,ethanol,CCO,293.22,30240.0,,,1323.04,,,,,,,,,,,
13973,j.jct.2004.10.001,ethanol,CCO,293.21,15560.0,,,1252.34,,,,,,,,,,,
13974,j.jct.2004.10.001,ethanol,CCO,293.21,14850.0,,,1248.74,,,,,,,,,,,
13975,j.jct.2004.10.001,ethanol,CCO,298.06,91410.0,,,1544.52,,,,,,,,,,,
13976,j.jct.2004.10.001,ethanol,CCO,298.06,90950.0,,,1543.11,,,,,,,,,,,
13977,j.jct.2004.10.001,ethanol,CCO,298.06,76400.0,,,1493.94,,,,,,,,,,,
13978,j.jct.2004.10.001,ethanol,CCO,298.06,75580.0,,,1491.15,,,,,,,,,,,
13979,j.jct.2004.10.001,ethanol,CCO,298.06,61240.0,,,1438.8,,,,,,,,,,,
13980,j.jct.2004.10.001,ethanol,CCO,298.06,60400.0,,,1435.65,,,,,,,,,,,
13981,j.jct.2004.10.001,ethanol,CCO,298.07,46020.0,,,1378.64,,,,,,,,,,,
13982,j.jct.2004.10.001,ethanol,CCO,298.07,45360.0,,,1375.87,,,,,,,,,,,
13983,j.jct.2004.10.001,ethanol,CCO,298.07,30620.0,,,1311.31,,,,,,,,,,,
13984,j.jct.2004.10.001,ethanol,CCO,298.07,29970.0,,,1308.39,,,,,,,,,,,
13985,j.jct.2004.10.001,ethanol,CCO,298.08,15400.0,,,1236.78,,,,,,,,,,,
13986,j.jct.2004.10.001,ethanol,CCO,298.08,14980.0,,,1234.63,,,,,,,,,,,
13987,j.jct.2004.10.001,ethanol,CCO,298.22,91410.0,,,1544.42,,,,,,,,,,,
13988,j.jct.2004.10.001,ethanol,CCO,298.22,90960.0,,,1543.01,,,,,,,,,,,
13989,j.jct.2004.10.001,ethanol,CCO,298.22,76300.0,,,1493.37,,,,,,,,,,,
