,filename,components,smiles,"Speed of sound, m/s","Speed of sound, m/s_std"
53715,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1312.6,1.3126
53716,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1359.8,1.3598
53717,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1404.8,1.4048
53718,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1446.9,1.4469
53719,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1486.5,1.4865
53720,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1524.4,1.5244
53722,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1039.5,1.0395
53723,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1110.9,1.1109
53724,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1174.0,1.174
53725,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1231.1,1.2311
53726,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1283.7,1.2837
53727,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1332.0,1.332
53728,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1377.5,1.3775
53729,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1420.3,1.4203
53730,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1461.1,1.4611
53731,j.jct.2005.10.002,3-methyl-3-pentanol,CCC(C)(O)CC,1499.3,1.4993
53733,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1294.0,1.294
53734,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1348.2,1.3482
53735,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1397.7,1.3977
53736,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1443.6,1.4436
53737,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1486.9,1.4869
53738,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1526.0,1.526
53739,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1564.7,1.5647
53740,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1600.5,1.6005
53741,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1636.4,1.6364
53742,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1668.2,1.6682
53744,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1257.0,1.257
53745,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1313.0,1.313
53746,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1364.7,1.3647
53747,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1411.9,1.4119
53748,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1456.0,1.456
53749,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1498.1,1.4981
53750,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1537.4,1.5374
53751,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1574.5,1.5745
53752,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1610.2,1.6102
53753,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1644.1,1.6441
53755,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1219.2,1.2192
53756,j.jct.2005.10.002,3-pentanol,CCC(O)CC,1277.9,1.2779
